Time(s),CTSresistance,PatientWeight(kg),HeartRate(1/min),HeartStrokeVolume(mL),BloodVolume(L),ExtravascularFluidVolume(L),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),HemoglobinContent(g),CentralVenousPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),RespirationRate(1/min),OxygenSaturation,CarbonDioxideSaturation,TidalVolume(mL),TotalLungVolume(L),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),TranspulmonaryPressure(cmH2O),RespiratoryExchangeRatio,CoreTemperature(degC),SkinTemperature(degC),GlomerularFiltrationRate(mL/min),RenalBloodFlow(L/min),UrineProductionRate(mL/min),LeftAfferentArterioleResistance(mmHg_min/mL),RightAfferentArterioleResistance(mmHg_min/mL),OxygenConsumptionRate(mL/min),CarbonDioxideProductionRate(mL/min),LeftAlveoli-Pressure(cmH2O),LeftAlveoli-Oxygen-PartialPressure(mmHg),LeftAlveoli-CarbonDioxide-PartialPressure(mmHg),RightAlveoli-Pressure(cmH2O),RightAlveoli-Oxygen-PartialPressure(mmHg),RightAlveoli-CarbonDioxide-PartialPressure(mmHg),Trachea-Oxygen-PartialPressure(cmH2O),Trachea-CarbonDioxide-PartialPressure(cmH2O),Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg),VenaCava-Oxygen-PartialPressure(mmHg),VenaCava-CarbonDioxide-PartialPressure(mmHg),RightTubules-Sodium-Concentration(g/L),LeftTubules-Sodium-Concentration(g/L),Oxygen-AlveolarTransfer(mL/s),CarbonDioxide-AlveolarTransfer(mL/s),Epinephrine-BloodConcentration(ug/L),LiverGlycogen(g),MuscleGlycogen(g),NeuromuscularBlockLevel,SedationLevel,LeftEyePupillaryResponse-SizeModifier,LeftEyePupillaryResponse-ReactivityModifier,RightEyePupillaryResponse-SizeModifier,RightEyePupillaryResponse-ReactivityModifier,Aorta-Prednisone-Concentration(ug/L),VenaCava-Prednisone-Concentration(ug/L),BoneVasculature-Prednisone-Concentration(ug/L),BrainVasculature-Prednisone-Concentration(ug/L),FatVasculature-Prednisone-Concentration(ug/L),GutVasculature-Prednisone-Concentration(ug/L),LeftKidneyVasculature-Prednisone-Concentration(ug/L),LeftLungVasculature-Prednisone-Concentration(ug/L),LiverVasculature-Prednisone-Concentration(ug/L),MuscleVasculature-Prednisone-Concentration(ug/L),MyocardiumVasculature-Prednisone-Concentration(ug/L),RightKidneyVasculature-Prednisone-Concentration(ug/L),RightLungVasculature-Prednisone-Concentration(ug/L),SkinVasculature-Prednisone-Concentration(ug/L),SpleenVasculature-Prednisone-Concentration(ug/L),BoneTissueExtracellular-Prednisone-Concentration(ug/L),BrainTissueExtracellular-Prednisone-Concentration(ug/L),FatTissueExtracellular-Prednisone-Concentration(ug/L),GutTissueExtracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueExtracellular-Prednisone-Concentration(ug/L),LeftLungTissueExtracellular-Prednisone-Concentration(ug/L),LiverTissueExtracellular-Prednisone-Concentration(ug/L),MuscleTissueExtracellular-Prednisone-Concentration(ug/L),MyocardiumTissueExtracellular-Prednisone-Concentration(ug/L),RightKidneyTissueExtracellular-Prednisone-Concentration(ug/L),RightLungTissueExtracellular-Prednisone-Concentration(ug/L),SkinTissueExtracellular-Prednisone-Concentration(ug/L),SpleenTissueExtracellular-Prednisone-Concentration(ug/L),BoneTissueIntracellular-Prednisone-Concentration(ug/L),BrainTissueIntracellular-Prednisone-Concentration(ug/L),FatTissueIntracellular-Prednisone-Concentration(ug/L),GutTissueIntracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueIntracellular-Prednisone-Concentration(ug/L),LeftLungTissueIntracellular-Prednisone-Concentration(ug/L),LiverTissueIntracellular-Prednisone-Concentration(ug/L),MuscleTissueIntracellular-Prednisone-Concentration(ug/L),MyocardiumTissueIntracellular-Prednisone-Concentration(ug/L),RightKidneyTissueIntracellular-Prednisone-Concentration(ug/L),RightLungTissueIntracellular-Prednisone-Concentration(ug/L),SkinTissueIntracellular-Prednisone-Concentration(ug/L),SpleenTissueIntracellular-Prednisone-Concentration(ug/L),Prednisone-PlasmaConcentration(ug/L),Prednisone-EffectSiteConcentration(ug/mL),Prednisone-SystemicMassCleared(ug),Prednisone-MassInBody(ug),Prednisone-LeftKidneyTissue-PartitionCoefficient,Prednisone-RightKidneyTissue-PartitionCoefficient,Prednisone-BrainTissue-PartitionCoefficient,Prednisone-RightLungTissue-PartitionCoefficient,Prednisone-LeftLungTissue-PartitionCoefficient,Prednisone-LiverTissue-PartitionCoefficient,Prednisone-BoneTissue-PartitionCoefficient,Prednisone-FatTissue-PartitionCoefficient,Prednisone-SkinTissue-PartitionCoefficient,Prednisone-MuscleTissue-PartitionCoefficient,Prednisone-SpleenTissue-PartitionCoefficient,Prednisone-GutTissue-PartitionCoefficient,Prednisone-MyocardiumTissue-PartitionCoefficient,LiverTissueIntracellular-Prednisone-MassCleared(ug),LeftKidneyTissueIntracellular-Prednisone-MassCleared(ug),RightKidneyTissueIntracellular-Prednisone-MassCleared(ug),LiverTissueIntracellular-Prednisone-MassExcreted(ug)
0.22,0,77.6,72,80.4,5.53,34.4,94.4,95.8,115,74.3,5.79,846,3.96,6.38,16.57,0.980,0.029,531,3.07,0.0431,7.50,7.35,0.871,36.6,31.3,119,1.08,1.019,0.0367,0.0367,257.256,239.035,1034,118,37.8,1034,119,37.4,208,9.2,95.9,39.9,37.9,44.6,2.15,2.15,4.15,-3.23,0.028298,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.24,0,77.6,72,80.4,5.53,34.4,92.9,95.8,115,74.3,5.79,846,3.95,6.38,16.57,0.980,0.029,531,3.04,0.0431,7.50,7.24,0.871,36.6,31.3,116,1.07,0.960,0.0367,0.0367,257.256,239.035,1035,118,37.8,1035,119,37.5,204,12.1,95.9,39.9,37.9,44.6,2.15,2.15,3.98,-3.70,0.028297,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.26,0,77.6,72,80.4,5.53,34.4,91.4,95.8,115,74.3,5.79,846,3.95,6.38,16.57,0.980,0.029,531,3.02,0.0431,7.50,7.13,0.871,36.6,31.3,113,1.05,0.903,0.0367,0.0367,257.256,239.035,1035,118,37.8,1035,119,37.5,201,14.9,95.9,39.9,37.9,44.6,2.15,2.15,4.00,-3.14,0.028295,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.28,0,77.6,72,80.4,5.53,34.4,90.0,95.8,115,74.3,5.79,846,3.94,6.38,16.57,0.980,0.029,531,3.00,0.0431,7.50,7.01,0.871,36.6,31.3,110,1.03,0.847,0.0367,0.0367,257.256,239.035,1035,118,37.9,1035,119,37.5,198,17.6,95.9,39.9,37.9,44.6,2.15,2.15,3.85,-3.63,0.028291,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.30,0,77.6,72,80.4,5.53,34.4,88.6,95.8,115,74.3,5.79,846,3.93,6.38,16.57,0.980,0.029,531,2.97,0.0431,7.50,6.90,0.871,36.6,31.3,108,1.01,0.792,0.0367,0.0367,257.256,239.035,1035,118,37.8,1035,119,37.5,195,20.2,95.9,39.9,37.9,44.6,2.15,2.15,3.87,-3.06,0.028287,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.32,0,77.6,72,80.4,5.53,34.4,87.2,95.8,115,74.3,5.79,846,3.93,6.38,16.57,0.980,0.029,531,2.95,0.0431,7.50,6.78,0.871,36.6,31.3,105,1.00,0.739,0.0367,0.0367,257.256,239.035,1035,118,37.9,1035,119,37.6,193,22.7,95.9,39.9,37.9,44.6,2.15,2.15,3.72,-3.54,0.028282,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.34,0,77.6,72,80.4,5.53,34.4,85.9,95.8,115,74.3,5.79,846,3.92,6.38,16.57,0.980,0.029,531,2.93,0.0431,7.50,6.67,0.871,36.6,31.3,102,0.98,0.687,0.0367,0.0367,257.256,239.035,1035,118,37.9,1035,119,37.5,190,24.9,95.9,39.9,37.9,44.6,2.15,2.15,3.75,-2.96,0.028276,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.36,0,77.6,72,80.4,5.53,34.4,84.6,95.8,115,74.3,5.79,846,3.92,6.38,16.57,0.980,0.029,531,2.91,0.0431,7.50,6.56,0.871,36.6,31.3,100,0.96,0.637,0.0367,0.0367,257.256,239.035,1035,118,37.9,1035,119,37.6,188,26.9,95.9,39.9,37.9,44.6,2.15,2.15,3.60,-3.45,0.028269,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.38,0,77.6,72,80.4,5.53,34.4,83.3,95.8,115,74.3,5.79,846,3.91,6.38,16.57,0.980,0.029,531,2.88,0.0431,7.50,6.46,0.871,36.6,31.3,97,0.95,0.588,0.0367,0.0367,257.256,239.035,1035,118,37.9,1035,119,37.6,186,28.8,95.9,39.9,37.9,44.6,2.15,2.15,3.63,-2.86,0.028262,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.40,0,77.6,72,80.4,5.53,34.4,82.1,95.8,115,74.3,5.79,846,3.91,6.38,16.57,0.980,0.029,531,2.86,0.0431,7.50,6.36,0.871,36.6,31.3,95,0.93,0.541,0.0367,0.0367,257.256,239.035,1034,118,38.0,1034,119,37.6,184,30.4,95.9,39.9,37.9,44.6,2.15,2.15,3.48,-3.36,0.028254,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.42,0,77.6,72,80.4,5.53,34.4,80.9,95.8,115,74.3,5.79,846,3.90,6.38,16.57,0.980,0.029,531,2.84,0.0431,7.50,6.27,0.871,36.6,31.3,93,0.92,0.494,0.0367,0.0367,257.256,239.035,1034,118,37.9,1034,119,37.6,183,31.9,95.9,39.9,37.9,44.6,2.15,2.15,3.52,-2.75,0.028245,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.44,0,77.6,72,80.4,5.53,34.4,79.7,95.8,115,74.3,5.79,846,3.90,6.38,16.57,0.980,0.029,531,2.83,0.0431,7.50,6.18,0.871,36.6,31.3,91,0.91,0.449,0.0367,0.0367,257.256,239.035,1034,118,38.0,1034,119,37.7,181,33.2,95.9,39.9,37.9,44.6,2.15,2.15,3.37,-3.27,0.028235,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.46,0,77.6,72,80.4,5.53,34.4,78.6,95.8,115,74.3,5.79,846,3.90,6.38,16.57,0.980,0.029,531,2.81,0.0431,7.50,6.09,0.871,36.6,31.3,88,0.89,0.405,0.0367,0.0367,257.256,239.035,1034,118,38.0,1034,119,37.6,180,34.4,95.9,39.9,37.9,44.6,2.15,2.15,3.41,-2.65,0.028224,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
